Κωδικός,Πόλη,Κωδ. Χώρας/Περιοχής,Κωδ. Καταστήματος,Προκαθορισμένο,Πόλη ENU,Ανενεργό,Περιοχή,Ζώνη Τιμολόγησης,ΧΜ Ζώνη,Ζώνη
11632,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11633,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11634,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11635,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11636,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11637,ΑΘΗΝΑ 0119,GR,0119,TRUE,,FALSE,,ATH1,,In-city
11741,ΑΘΗΝΑ,GR,0967,TRUE,,FALSE,,ATH3,,In-city
11742,ΑΘΗΝΑ,GR,0967,TRUE,,FALSE,,ATH3,,In-city
11743,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11744,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11745,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
11835,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,ΠΡΩΤΑΓΟΡΑ,ATH2,,In-city
11851,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH2,,In-city
11852,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH2,,In-city
11853,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH2,,In-city
11854,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH2,,In-city
11855,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH2,,In-city
12131,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12132,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12132,ΠΕΡΙΣΤΕΡΙ.,GR,0116,FALSE,,FALSE,,ATH4,,In-city
12133,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12134,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12135,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12136,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12137,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12141,ΠΕΡΙΣΤΕΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12241,ΑΙΓΑΛΕΩ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12242,ΑΙΓΑΛΕΩ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12243,ΑΙΓΑΛΕΩ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12244,ΑΙΓΑΛΕΩ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12351,ΑΓΙΑ ΒΑΡΒΑΡΑ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12461,ΧΑΙΔΑΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
12462,ΧΑΙΔΑΡΙ,GR,0946,TRUE,,FALSE,,ATH4,,In-city
13121,ΙΛΙΟΝ,GR,0946,TRUE,,FALSE,,ATH6,,In-city
13122,ΙΛΙΟΝ,GR,0946,TRUE,,FALSE,,ATH6,,In-city
13123,ΙΛΙΟΝ,GR,0946,TRUE,,FALSE,,ATH6,,In-city
13231,ΠΕΤΡΟΥΠΟΛΗ,GR,0946,TRUE,,FALSE,,ATH6,,In-city
13232,ΠΕΤΡΟΥΠΟΛΗ,GR,0946,TRUE,,FALSE,,ATH6,,In-city
13341,ΑΝΩ ΛΙΟΣΙΑ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13342,ΑΝΩ ΛΙΟΣΙΑ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13343,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13343,"ΑΧΑΡΝΕΣ, ΑΝΩ ΛΙΟΣΙΑ ",GR,0931,FALSE,,FALSE,,ATH7,,In-city
13344,ΖΟΦΡΙΑ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13345,ΦΥΛΗ,GR,0931,FALSE,,FALSE,,ATH7,,In-city
13345,"ΦΥΛΗ, ΑΝΩ ΛΙΟΣΙΑ ",GR,0931,TRUE,,FALSE,,ATH7,,In-city
13351,ΦΥΛΗ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13451,ΚΑΜΑΤΕΡΟ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13451,ΚΑΜΑΤΕΡΟ.,GR,0931,FALSE,,FALSE,,ATH7,,In-city
13461,ΖΕΦΥΡΙ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13501,ΖΕΦΥΡΙ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13561,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,GR,0931,TRUE,,FALSE,,ATH6,,In-city
13561,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ.,GR,0931,FALSE,,FALSE,,ATH6,,In-city
13562,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,GR,0931,TRUE,,FALSE,,ATH6,,In-city
13562,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ.,GR,0931,FALSE,,FALSE,,ATH6,,In-city
13671,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13672,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13673,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13674,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13675,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13676,ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13677,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
13678,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE, ,ATH7,,In-city
13679,ΑΧΑΡΝΕΣ,GR,0931,TRUE,,FALSE,,ATH7,,In-city
14121,ΗΡΑΚΛΕΙΟ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14121,ΗΡΑΚΛΕΙΟ 0119,GR,0119,FALSE,,FALSE,,ATH6,,In-city
14122,ΗΡΑΚΛΕΙΟ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14123,ΗΡΑΚΛΕΙΟ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14123,ΛΥΚΟΒΡΥΣΗ,GR,0930,FALSE,,FALSE,,ATH6,,In-city
14220,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14231,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14232,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14233,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14234,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14234,ΝΕΑ ΙΩΝΙΑ EUR,GR,0119,FALSE,,FALSE,,ATH6,,In-city
14235,ΝΕΑ ΙΩΝΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14341,NEΑ ΦΙΛΑΔΕΛΔΕΙΑ,GR,0113,FALSE,,FALSE,,ATH6,,In-city
14341,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ 0936 ATH6,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14342,NEA ΦΙΛΑΔΕΛΦΕΙΑ,GR,0113,FALSE,,FALSE,,ATH6,,In-city
14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14343,ΝΕΑ ΧΑΛΚΗΔΟΝΑ,GR,0113,FALSE,,FALSE,,ATH6,,In-city
14343,ΝΕΑ ΧΑΛΚΙΔΟΝΑ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14451,ΜΕΤΑΜΟΡΦΩΣΗ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14452,ΜΕΤΑΜΟΡΦΩΣΗ,GR,0930,TRUE,,FALSE,,ATH6,,In-city
14561,ΚΗΦΙΣΙΑ,GR,0968,TRUE,,FALSE,,ATH6,,In-city
14562,ΚΗΦΙΣΙΑ,GR,0968,TRUE,,FALSE,,ATH6,,In-city
14563,ΚΗΦΙΣΙΑ,GR,0968,TRUE,,FALSE,,ATH6,,In-city
